Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
1,720,19720208,988,223,82,17,20101231,1.68,4.98,790961.00,"225,770",739.00,336898.00,0.00,534857.00,288849.00,181425.00,0.00,162537.00,17824.00,144713.00,0.00,30503.00,0.00,132505.00,132505.00,0.00,12,4,1,84240.00,193040.00,149,149,0,0,0,0,149,0,0,0,0,1.79,6,53,71,8,9,1,1
1,721,19731121,695,26,125,1,19951231,1.38,4.26,669904.00,"112,400",18776.00,390994.00,0.00,337409.00,147109.00,67925.00,0.00,109030.00,13150.00,95880.00,0.00,0.00,12000.00,106812.00,106812.00,0.00,1,12,2,74048.00,109030.00,164,66,98,0,0,164,0,0,0,16,0,0.78,38,124,2,0,0,0,0
1,721,19731121,695,26,125,1,19961231,1.15,4.5,537765.00,"48,324",14625.00,411998.00,0.00,256978.00,137502.00,80439.00,0.00,109030.00,13150.00,95880.00,0.00,0.00,12000.00,106812.00,106812.00,0.00,1,12,2,74048.00,109030.00,164,66,98,0,0,164,0,0,0,16,0,0.78,38,124,2,0,0,0,0
1,727,19740829,1149,122,125,1,20071231,1.3,2.36,887063.00,"81,501",9876.00,612144.00,0.00,394831.00,344772.00,177721.00,0.00,112688.00,19944.00,92744.00,0.00,0.00,0.00,102008.00,87384.00,14624.00,1,10,2,44785.00,112688.00,108,27,81,0,0,0,108,0,0,5,0,1.58,0,56,43,7,2,0,0
1,727,19740829,1149,122,125,1,20081231,1.31,3.1,894776.00,"85,746",5508.00,612143.00,0.00,373717.00,311629.00,190996.00,0.00,112688.00,19944.00,92744.00,0.00,0.00,0.00,102008.00,87384.00,14624.00,1,10,2,44785.00,112688.00,108,27,81,0,0,0,108,0,0,5,0,1.58,0,56,43,7,2,0,0
1,727,19740829,1149,122,125,1,20091231,1.44,3.37,987158.00,"106,735",1781.00,612144.00,0.00,463081.00,342754.00,205284.00,0.00,112688.00,19944.00,92744.00,0.00,0.00,0.00,102008.00,87384.00,14624.00,1,10,2,44785.00,112688.00,108,27,81,0,0,0,108,0,0,5,0,1.58,0,56,43,7,2,0,0
1,727,19740829,1149,122,125,1,20101231,1.45,2.68,962048.00,"74,205",499.00,612144.00,0.00,376535.00,361386.00,220663.00,0.00,112688.00,19944.00,92744.00,0.00,0.00,0.00,102008.00,87384.00,14624.00,1,10,2,44785.00,112688.00,108,27,81,0,0,0,108,0,0,5,0,1.58,0,56,43,7,2,0,0
1,728,19721206,707,122,50,16,19951231,1.34,2.01,1171020.00,"158,861",13502.00,746620.00,0.00,635833.00,469576.00,152490.00,0.00,443457.00,90403.00,353054.00,0.00,0.00,3492.00,366480.00,366480.00,0.00,28,3,0,1089000.00,446949.00,324,81,127,116,0,0,324,0,0,7,0,1.77,0,120,159,45,0,0,0
1,728,19721206,707,122,50,16,19961231,1.1,1.96,1026915.00,"182,809",23151.00,747216.00,0.00,695773.00,517779.00,163254.00,0.00,443457.00,90403.00,353054.00,0.00,0.00,3492.00,366480.00,366480.00,0.00,28,3,0,1089000.00,446949.00,324,81,127,116,0,0,324,0,0,7,0,1.77,0,120,159,45,0,0,0
2,738,19751015,526,282,120,16,20101231,1.18,0.84,519063.00,"84,434",1312.00,368432.00,0.00,570592.00,878041.00,198273.00,0.00,116872.00,1296.00,115576.00,14870.00,0.00,0.00,115646.00,100776.00,14870.00,1,12,2,37826.00,131742.00,131,33,98,0,0,0,131,0,0,13,0,1.47,0,72,57,2,0,0,0
2,740,19731205,1275,507,146,17,19951231,1.25,0,632887.00,0,44924.00,427378.00,42373.00,0.00,0.00,0.00,0.00,213085.00,31461.00,181624.00,0.00,0.00,0.00,178908.00,178908.00,0.00,38,4,0,9460360.00,213085.00,215,88,127,0,0,0,215,0,0,11,0,1.9,0,83,78,47,7,0,0
1,741,19730424,566,149,70,17,20101231,1.6,3.31,2908237.00,"333,420",2740.00,1607507.00,0.00,2861465.00,1559297.00,693902.00,0.00,285250.00,15000.00,270250.00,37750.00,0.00,0.00,298834.00,261084.00,37750.00,3,20,5,99150.00,323000.00,301,76,136,89,0,30,271,0,0,6,0,1.7,0,128,139,30,4,0,0
4,742,19730411,285,89,114,17,19951231,0.79,0.63,396321.00,"186,969",7311.00,255399.00,0.00,77238.00,170577.00,48183.00,0.00,141066.00,19043.00,122023.00,0.00,0.00,3407.00,117810.00,117810.00,0.00,12,2,0,518364.00,144473.00,114,34,80,0,0,0,114,0,0,2,0,1.95,0,36,54,18,6,0,0
2,752,19741119,45,93,140,16,20101231,1.36,0.65,486558.00,"73,617",139.00,303108.00,0.00,361813.00,753424.00,192845.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124903.00,124903.00,0.00,20,2,0,1768162.00,153750.00,145,130,15,0,0,72,73,0,0,7,0,1.8,0,72,38,27,8,0,0
1,753,19750626,158,79,32,16,19951231,1.41,1.71,665994.00,"48,181",55882.00,398857.00,0.00,220556.00,211143.00,82400.00,0.00,169000.00,0.00,169000.00,0.00,0.00,0.00,150000.00,150000.00,0.00,26,2,0,1488880.00,169000.00,200,50,150,0,0,200,0,0,0,13,0,1.25,0,150,50,0,0,0,0
1,753,19750626,158,79,32,16,19961231,1.26,2.15,666525.00,"55,545",69995.00,428088.00,0.00,270591.00,213819.00,88200.00,0.00,169000.00,0.00,169000.00,0.00,0.00,0.00,150000.00,150000.00,0.00,26,2,0,1488880.00,169000.00,200,50,150,0,0,200,0,0,0,13,0,1.25,0,150,50,0,0,0,0
1,758,19780829,262,160,136,14,19951231,1.1,3.21,864315.00,"26,998",12499.00,749285.00,0.00,445844.00,263259.00,124339.00,0.00,260866.00,11500.00,249366.00,0.00,0.00,0.00,246280.00,246280.00,0.00,23,2,0,0.00,260866.00,230,230,0,0,0,0,230,0,0,12,0,2,0,92,69,46,23,0,0
1,758,19780829,262,160,136,14,19961231,1.14,3.41,1007234.00,"137,885",14826.00,749285.00,0.00,461861.00,269446.00,134038.00,0.00,260866.00,11500.00,249366.00,0.00,0.00,0.00,246280.00,246280.00,0.00,23,2,0,0.00,260866.00,230,230,0,0,0,0,230,0,0,12,0,2,0,92,69,46,23,0,0
