Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
2,1048,19891229,1035,149,156,18,20101231,1.88,0.09,293961,43686,92,132738,0,147742,2037530,2790,412058,72844,0,72844,0,0,0,56123,56123,0,10,4,1,64226,72844,56,25,22,9,0,0,56,0,0,2,0,2.34,1,4,26,25,0,0,0
1,712,19730719,1282,113,88,11,20101231,1.02,1.38,563366,172350,291,384108,0,436284,508916,193739,0,201471,24159,177312,0,0,10629,184200,184200,0,19,2,0,849551,212100,168,72,96,0,0,12,156,0,0,3,0,2.22,0,11,121,24,12,0,0
1,588,20060628,203,149,61,22,20101231,1.76,7.77,340277,12704,145,186386,0,617749,92182,12661,0,66783,16180,50603,0,0,0,47322,47322,0,2,4,2,61256,66783,61,61,0,0,0,0,61,0,0,0,0,1.39,0,37,24,0,0,0,0
3,1052,19900420,1077,149,54,20,20101231,1,0.16,438458,64406,281,374307,0,293530,1781835,1,0,71480,0,71480,0,0,0,65541,65541,0,21,3,0,206000,71480,60,53,0,7,0,0,60,0,0,3,0,2.65,0,0,27,27,6,0,0
1,787,19750515,397,133,21,16,20101231,1.07,2.76,298193,70355,3818,209003,0,512944,308558,122600,0,87750,0,87750,0,0,0,65010,65010,0,8,2,0,1248866,87750,100,25,75,0,0,100,0,0,0,5,0,1.1,0,90,10,0,0,0,0
1,704,19720713,821,148,155,16,20101231,1.44,4.26,187943,27491,90,111380,0,295454,125537,56175,0,37651,7229,30422,0,0,462,31650,31650,0,1,5,1,10753,38113,52,0,52,0,0,0,52,0,0,0,0,0.5,28,22,2,0,0,0,0
1,1035,19890217,227,97,67,4,20101231,0.97,1.17,510821,168378,535,352163,0,191990,172557,8479,0,85828,3834,81994,3514,5472,19882,55713,52646,3067,2,4,2,200376,114696,70,28,0,42,0,70,0,0,0,7,0,1.43,0,40,30,0,0,0,0
5,719,19730314,32,295,24,17,20101231,0.78,0.98,353004,198417,218,197485,0,192356,302490,107147,0,105740,0,105740,0,0,0,98444,98444,0,21,3,0,585446,105740,112,28,84,0,0,0,112,0,0,1,0,2.03,0,26,63,17,6,0,0
1,735,19750115,1238,83,75,14,20101231,1.02,1.45,1281104,41384,554,1213703,0,325209,1304228,1079398,0,125891,22309,103582,0,0,8309,102920,102920,0,1,9,2,0,125891,156,156,0,0,0,156,0,0,0,15,0,1,16,124,16,0,0,0,0
1,864,19790709,687,104,77,14,20101231,1.11,8.6,406556,0,307,365478,0,535508,98250,35973,0,0,0,0,0,0,0,35268,35268,0,9,2,0,118483,46728,56,56,0,0,0,56,0,0,0,6,0,1.18,0,46,10,0,0,0,0
1,311,20040401,54,71,25,7,20101231,1.23,7.11,222685,0,5442,176847,0,541082,153917,77795,0,60727,0,60727,0,0,0,0,0,0,1,4,2,0,60727,69,64,5,0,0,69,0,0,0,5,0,1.03,0,67,2,0,0,0,0
1,548,20060615,1090,507,146,21,20101231,1.01,6.13,446477,22650,2096,418727,0,795189,171438,41696,0,123126,21658,101468,3391,0,29012,104859,101468,3391,1,6,2,40581,126517,74,74,0,0,0,0,74,0,0,0,0,1.55,0,33,41,0,0,0,0
1,727,19740829,1149,122,125,1,20101231,1.45,2.68,962048,74205,499,612144,0,376535,361386,220663,0,112688,19944,92744,0,0,0,102008,87384,14624,1,10,2,44785,112688,108,27,81,0,0,0,108,0,0,5,0,1.58,0,56,43,7,2,0,0
1,313,20080214,842,93,140,14,20101231,1.42,5.59,447848,26587,1930,295215,0,1137635,241180,37674,0,58220,0,58220,0,0,0,58220,58220,0,1,6,2,0,58220,85,85,0,0,0,85,0,0,0,5,0,1.08,3,72,10,0,0,0,0
1,823,19760615,899,175,71,15,20101231,1.7,3.33,705123,11109,1380,406358,0,701912,336395,125395,0,40806,0,40806,3500,0,272,32941,30641,2300,8,4,0,14759,44578,36,36,0,0,0,0,36,0,0,1,0,2,0,18,6,6,6,0,0
1,1058,19920630,891,149,156,13,20101109,1.45,2.49,3029466,0,3388,2082925,0,2163745,2455691,1305263,282018,0,0,0,0,0,0,396984,360970,36014,25,4,4,0,437092,500,485,15,0,0,0,500,0,0,25,0,2.24,0,144,159,132,65,0,0
1,871,19790928,499,148,111,14,20100830,2.88,1.96,745556,12570,1245,253760,0,1104716,590215,27817,0,0,0,0,0,0,0,83590,83590,0,4,3,0,687507,101672,114,113,0,0,1,114,0,0,0,6,0,1.26,0,84,30,0,0,0,0
1,540,20050415,38,45,12,4,20101231,1.29,2.19,385412,0,389,297614,0,254924,268268,152032,0,44000,0,44000,0,0,0,0,0,0,21,1,0,0,44000,59,0,18,41,0,0,59,0,0,0,0,1.71,0,19,38,2,0,0,0
1,981,19851011,222,97,67,20,20101231,1.15,1.66,513664,152291,1468,313667,0,183399,125857,15388,0,80008,833,79175,0,0,0,60918,60918,0,3,3,1,229910,80008,73,19,0,54,0,73,0,0,0,6,0,1.74,0,19,54,0,0,0,0
1,903,19791115,49,36,109,15,20101231,1.9,4.42,677565,18388,1824,346278,0,529024,282682,162952,0,94367,4948,89419,11931,0,0,84005,72074,11931,3,4,1,70237,106298,101,100,0,0,1,87,14,0,0,10,0,1.13,2,84,15,0,0,0,0
1,772,19741204,224,93,140,21,20101231,1.13,2.91,265150,74975,355,167568,0,435382,244970,95520,0,76300,18300,58000,0,0,0,51575,51575,0,1,5,1,43044,76300,80,76,0,4,0,80,0,0,0,0,0,1.09,0,73,7,0,0,0,0
1,718,19730719,1249,148,155,16,20101231,1.1,2.83,157454,38371,36,108561,0,154853,117034,62280,0,54087,12294,41793,0,0,2569,40848,40848,0,1,5,0,82098,54087,45,11,34,0,0,0,45,0,0,0,0,1.67,0,24,12,9,0,0,0
1,979,19851220,857,229,15,20,20101231,1.27,1.25,185632,37318,153,116273,0,94344,75287,1,0,38776,0,38776,0,0,0,30246,30246,0,1,3,1,29261,38776,30,8,0,22,0,0,30,0,0,2,0,1.9,0,6,21,3,0,0,0
1,318,20060718,853,149,38,13,20101231,1.26,4.97,2568148,259326,10927,1828996,0,3640873,1150734,418574,0,273988,0,273988,0,0,0,0,0,0,18,4,0,0,273988,262,262,0,0,0,0,262,0,0,7,0,2.6,0,19,98,113,32,0,0
